Id,Class,Year,Season,State,Follow Up
14338,Class A,1870,Fall,California,yes
1245,Class B,1890,Winter,Wyoming,no
4543,Class C,1905,Summer,Tennessee,no
807,Class B,1910,Unknown,Michigan,no
1606,Class B,1920,Unknown,Arizona,no
4088,Class C,1920,Spring,Arkansas,no
14358,Class A,1921,Winter,Pennsylvania,no
24413,Class B,1925,Fall,Louisiana,yes
5641,Class B,1926,Unknown,Colorado,yes
2477,Class B,1930,Fall,Texas,no
24102,Class B,1932,Unknown,Missouri,yes
14336,Class A,1937,Summer,Indiana,no
2395,Class B,1938,Unknown,Texas,yes
1353,Class B,1940,Unknown,Colorado,no
1689,Class A,1941,Fall,Washington,no
1303,Class B,1942,Spring,Oklahoma,no
2494,Class A,1943,Fall,Arkansas,no
5333,Class A,1943,Fall,Ohio,yes
2896,Class A,1944,Summer,California,yes
28897,Class B,1944,Summer,Michigan,yes
49954,Class A,1945,Spring,Illinois,yes
1723,Class A,1948,Unknown,Washington,yes
7235,Class A,1949,Summer,Alabama,yes
576,,,,,no
8745,Class A,1949,Fall,Oregon,yes
33793,Class B,1949,Fall,Washington,yes
1043,Class B,1950,Spring,Washington,no
404,,,,,no
418,,,,,no
419,,,,,no
1339,Class A,1950,Summer,Mississippi,no
2248,Class A,1950,Summer,California,no
3684,Class A,1950,Summer,California,yes
5678,Class A,1950,Summer,Kentucky,yes
30753,Class A,1950,Summer,Michigan,yes
1024,Class A,1953,Fall,Kentucky,yes
16408,Class A,1953,Summer,Connecticut,yes
44986,Class A,1953,Summer,Alabama,yes
49182,Class B,1953,Summer,Illinois,yes
1115,Class B,1954,Unknown,Missouri,no
1229,Class A,1955,Fall,California,yes
13034,Class A,1955,Unknown,Florida,yes
24547,Class B,1955,Unknown,Tennessee,yes
1158,Class A,1956,Fall,Missouri,no
716,,,,,no
4946,Class A,1956,Fall,California,yes
4982,Class B,1956,Unknown,Ohio,no
12021,Class A,1956,Summer,Oregon,yes
679,Class A,1957,Summer,Virginia,yes
25012,Class A,1957,Unknown,Nebraska,yes
55706,Class A,1957,Winter,Illinois,yes
1670,Class A,1958,Unknown,Washington,no
240,,,,,no
5954,Class A,1958,Summer,Alabama,yes
7425,Class A,1958,Winter,Ohio,yes
8086,Class B,1958,Winter,Ohio,yes
16691,Class B,1958,Spring,California,yes
7211,Class B,1959,Fall,California,yes
